sim,step_cosine,midpoint_residual
0,0.8988611078,0.1155293169
1,0.9129948636,0.1071610847
2,0.9193605746,0.1025076501
3,0.9288434489,0.09713578172
4,0.9317384261,0.0964143424
5,0.946264657,0.08314341901
6,0.9068937579,0.1109656025
7,0.9143507505,0.1069730395
8,0.9160205643,0.1046856547
9,0.9325482622,0.0934287954
10,0.8865451539,0.1241524238
11,0.9296781546,0.09544977112
12,0.8835486877,0.128992417
13,0.9184699853,0.1060338163
14,0.9209490266,0.1014783546
15,0.9160700284,0.1046460533
16,0.9078621231,0.1111682978
17,0.9262259126,0.09846463967
18,0.9416029379,0.08750688149
19,0.9120741986,0.1073054546
20,0.9449195368,0.0843330028
21,0.9270215431,0.09740916159
22,0.9279349965,0.09756299953
23,0.9568230293,0.07436343017
24,0.9244384605,0.09913869991
25,0.9321437197,0.09372593484
26,0.9347993958,0.09356603926
27,0.9382825165,0.09217662156
28,0.9119015116,0.109371273
29,0.9288258502,0.09662949735
30,0.9451916718,0.08420183522
31,0.9060526138,0.111006044
32,0.9177182554,0.1050524493
33,0.9293092606,0.0957463275
34,0.8896451467,0.1228248351
35,0.9296542121,0.09549190958
36,0.8984315717,0.1156548322
37,0.9393981568,0.08947295315
38,0.9076860613,0.1099892619
39,0.9169910646,0.1042970206
40,0.9011591896,0.1230327112
41,0.9146091544,0.1056372788
42,0.9237600025,0.101232085
43,0.9335929376,0.09357436236
44,0.9506171069,0.08052746372
45,0.9318889248,0.09696577943
46,0.9277050481,0.09717749327
47,0.9232386685,0.1066011367
48,0.9472545127,0.08448800316
49,0.9213128797,0.1014056651
50,0.9243268477,0.09927997364
51,0.9127336465,0.1068061837
52,0.8907336946,0.120198252
53,0.9492271404,0.08243467746
54,0.9161488654,0.1052842706
55,0.9104384357,0.1099624119
56,0.9277441878,0.09686766955
57,0.9053787982,0.1117481632
58,0.9339333117,0.0931014256
59,0.9269786561,0.09988625007
60,0.9356135164,0.09119554707
61,0.9119896748,0.1073011601
62,0.8905473707,0.1225294443
63,0.9312526924,0.09515231873
64,0.9007525892,0.1142623732
65,0.8924675747,0.1205184243
66,0.9185991196,0.1043268225
67,0.9248222618,0.09956231758
68,0.9453867308,0.08386387897
69,0.9225151043,0.1012652145
70,0.9219545449,0.1016463528
71,0.945656777,0.08378511829
72,0.929079679,0.09819787046
73,0.9039593902,0.1123317169
74,0.91792727,0.108256735
75,0.9290065777,0.09674667601
76,0.9166753035,0.1054109298
77,0.9261455854,0.09854795453
78,0.9200711277,0.1040417995
79,0.9340132437,0.09238172094
80,0.9013606121,0.1139337678
81,0.9185069589,0.1048223674
82,0.9126486201,0.1069096268
83,0.9064836827,0.1146751614
84,0.9148987916,0.1058569253
85,0.9331661444,0.09328899927
86,0.9196236912,0.1040152124
87,0.9327540294,0.09353930622
88,0.921197233,0.1016484721
89,0.9395565186,0.08950955489
90,0.888177332,0.121689721
91,0.9343024757,0.09225609894
92,0.9070711441,0.1106327086
93,0.9061608181,0.1110712205
94,0.9203326438,0.1021595508
95,0.9144835298,0.1094067382
96,0.8808641277,0.1312879008
97,0.9158817944,0.1053183451
98,0.918624189,0.1039165778
99,0.8732009392,0.1307280309
100,0.8672808945,0.1333089671
101,0.9328300679,0.0933382319
102,0.9208215899,0.1015712366
103,0.9364724635,0.09064171132
104,0.9198645369,0.1024895556
105,0.8969940181,0.1168946094
106,0.8757826625,0.1292570431
107,0.909085597,0.1131735446
108,0.9193190838,0.1025391231
109,0.9234599232,0.1028597924
110,0.9025187393,0.1152686276
111,0.9121163921,0.1081432471
112,0.9072855938,0.1102399914
113,0.9117699718,0.1076487392
114,0.9350752173,0.0939930402
115,0.9284665774,0.09672054015
116,0.922159507,0.1006185946
117,0.9113357173,0.1081989517
118,0.9310484209,0.09584224425
119,0.9283961528,0.09651939579
120,0.9262774942,0.09802505393
121,0.9046122649,0.111895741
122,0.9119101246,0.1076306554
123,0.932921069,0.09374574634
124,0.8972183382,0.1176043946
125,0.8955375779,0.1179384159
126,0.8871662327,0.1224412322
127,0.937787347,0.09052922561
128,0.916947704,0.1041890189
129,0.9289287188,0.0972760096
130,0.9083880324,0.1118604907
131,0.89794895,0.1159415356
132,0.9505707629,0.08132203718
133,0.9209320777,0.1024725598
134,0.9278806871,0.1008386589
135,0.9123118588,0.1102392423
136,0.9114726464,0.1076913928
137,0.8911917247,0.120275285
138,0.9339130008,0.0926043734
139,0.9096810802,0.1088384856
140,0.9377194156,0.08969171483
141,0.9198703505,0.1024134493
142,0.9183546971,0.1048925823
143,0.9143310872,0.1059544479
144,0.8800908233,0.1264015434
145,0.8911453209,0.1199874703
146,0.9074803535,0.1102990921
147,0.9035688636,0.1165342269
148,0.9316928763,0.09410647092
149,0.9114753868,0.1076198219
150,0.9069103644,0.1105535906
151,0.9044427051,0.11352218
152,0.9225109048,0.1017697852
153,0.9265296541,0.09764391259
154,0.906645148,0.1136828823
155,0.9418711921,0.0873490767
156,0.9302629749,0.09509804247
157,0.9018369111,0.1138325389
158,0.9214272568,0.1011144081
159,0.9400747966,0.08825897148
160,0.9038880378,0.1127928403
161,0.8905766704,0.1205233453
162,0.8845604171,0.1238039241
163,0.9227656518,0.101252726
164,0.9232710574,0.1006160215
165,0.914950988,0.1056453888
166,0.9207943252,0.1027113969
167,0.9155639958,0.1051493305
168,0.9244150314,0.09935485449
169,0.9259967737,0.09999761567
170,0.9081744608,0.1096846708
171,0.9140173302,0.108412029
172,0.9247809272,0.09895338638
173,0.9369288086,0.09071446563
174,0.9195028546,0.1031293551
175,0.9121948744,0.1080603933
176,0.9085662243,0.1105013447
177,0.8969833376,0.1166219124
178,0.9249493624,0.0988260737
179,0.9196862027,0.1029198239
180,0.9132229511,0.1090993911
181,0.924790704,0.09925511726
182,0.8878879835,0.1218820092
183,0.9128329069,0.1073466665
184,0.9229698587,0.1047224247
185,0.9343580924,0.09293002228
186,0.9181360646,0.1033401781
187,0.9111889505,0.1080253558
188,0.9297894082,0.09644869311
189,0.9037635259,0.1143721245
190,0.9323743981,0.0941483885
191,0.9124820133,0.1099232847
192,0.8926822641,0.1194483877
193,0.9337088001,0.09272751607
194,0.9068483107,0.1105614967
195,0.9238488306,0.1004551498
196,0.8996884925,0.1157244431
197,0.8829400346,0.1255853584
198,0.9261281882,0.09793023613
199,0.9168296759,0.1051642099
200,0.9126704636,0.1084773834
201,0.9263959873,0.09774413317
202,0.9124374357,0.1089886325
203,0.9336915322,0.09497049388
204,0.903189404,0.1134311819
205,0.9167242119,0.1046209834
206,0.9382546831,0.08931643092
207,0.9413535415,0.08738006742
208,0.9250941931,0.1023632512
209,0.9242668102,0.0991928855
210,0.9442482902,0.08537698854
211,0.9325889292,0.09340729738
212,0.916781596,0.1042449983
213,0.9349606267,0.09356019501
214,0.9227794778,0.1003618406
215,0.9287997831,0.09620735334
216,0.9173548446,0.1049193562
217,0.9196005174,0.104142449
218,0.9133692007,0.1064411988
219,0.9315727644,0.0942188228
220,0.9188433846,0.1029339943
221,0.9425286104,0.09024413074
222,0.9315179686,0.09754239341
223,0.914421922,0.1115420918
224,0.9297832052,0.09537566508
225,0.9098989939,0.1102775764
226,0.9255466648,0.0997321507
227,0.9210751991,0.1028026698
228,0.9266541757,0.09976908789
229,0.9261572804,0.09799558818
230,0.9346131777,0.09284905589
231,0.9275925135,0.09690866881
232,0.9040331151,0.1123959712
233,0.9214818208,0.1020966722
234,0.8949671814,0.1180079189
235,0.9274172051,0.1003034901
236,0.9451440627,0.08576852268
237,0.9212921166,0.1014293483
238,0.903824741,0.1124613031
239,0.9046048059,0.112981812
240,0.9108052574,0.1090013923
241,0.9154938946,0.1052491477
242,0.9236997676,0.09979203998
243,0.9039687496,0.1124748591
244,0.9002107174,0.1146843519
245,0.9132500355,0.1064768118
246,0.9050001771,0.1128819446
247,0.9122111569,0.1073422301
248,0.9275298608,0.09755430831
249,0.8863428744,0.1230741655
250,0.8953625205,0.123901049
251,0.9106165664,0.1084376977
252,0.9274096639,0.09950103866
253,0.9242522146,0.1010457709
254,0.9202012001,0.1019283415
255,0.926340415,0.09852400602
256,0.8941732823,0.1189956935
257,0.9339532624,0.09290417237
258,0.9336869115,0.0930962304
259,0.9190929952,0.1027670568
260,0.9329062131,0.09372478672
261,0.912816822,0.1139438284
262,0.9070684943,0.1107142744
263,0.9265892601,0.09760389824
264,0.9210966688,0.1015943816
265,0.9178483633,0.1035552978
266,0.9140969369,0.1074956583
267,0.9354091681,0.092434957
