scenario_id,midpoint_residual,pc1_frac
politeness-apology-003,0.787608697,0.6073590526
politeness-apology-013,0.6544239221,0.7657333713
politeness-apology-043,0.758741206,0.5710267045
politeness-apology-057,0.6323967685,0.7982491998
politeness-apology-065,0.8136915143,0.5496677113
politeness-apology-067,0.7446626088,0.6009168795
politeness-apology-081,0.7572591686,0.7047402106
politeness-apology-098,0.6996932654,0.7614582221
politeness-bad-news-delivery-020,0.749271611,0.662745693
politeness-bad-news-delivery-028,0.6700366639,0.7882282526
politeness-bad-news-delivery-066,0.7241668386,0.7525664276
politeness-bad-news-delivery-073,0.7065435282,0.7861547649
politeness-complaint-030,0.9006117879,0.5835933622
politeness-complaint-032,0.8587886387,0.7805704073
politeness-complaint-040,0.6971261679,0.7792145949
politeness-complaint-049,0.8312240882,0.52164335
politeness-complaint-063,0.5545153505,0.7094225336
politeness-complaint-072,0.8178086198,0.6139421549
politeness-complaint-089,0.684591766,0.615626371
politeness-correction-002,0.8338376686,0.7546956673
politeness-correction-005,0.5864285709,0.6926905671
politeness-correction-007,0.8773990885,0.5386865026
politeness-correction-024,0.6414723337,0.8531328309
politeness-correction-027,0.665890435,0.7330097573
politeness-correction-045,0.9064080324,0.6448597146
politeness-correction-051,0.6157912644,0.6712898187
politeness-correction-076,0.8540126881,0.7116354827
politeness-correction-087,1.052817189,0.6009839601
politeness-criticism-or-feedback-023,0.9578287724,0.590510595
politeness-criticism-or-feedback-036,0.6523949951,0.7153052355
politeness-criticism-or-feedback-041,0.6777810783,0.6205744049
politeness-criticism-or-feedback-050,0.6175155961,0.7757879253
politeness-criticism-or-feedback-054,0.7739272013,0.6589649366
politeness-criticism-or-feedback-071,0.9363975502,0.5765145678
politeness-criticism-or-feedback-099,0.9203721066,0.7030267102
politeness-criticism-or-feedback-100,0.6734118631,0.7899019821
politeness-disagreement-012,0.7672237105,0.5721730634
politeness-disagreement-035,0.7983565445,0.5467339089
politeness-disagreement-047,0.6434753147,0.6820714177
politeness-disagreement-048,1.005302787,0.6474638298
politeness-disagreement-075,0.7943281053,0.713857283
politeness-disagreement-086,0.7415242915,0.5986038776
politeness-inquiry-sensitive-008,0.8739423807,0.5578314208
politeness-inquiry-sensitive-009,0.7172232708,0.6172195472
politeness-inquiry-sensitive-016,0.7291613452,0.6410391568
politeness-inquiry-sensitive-092,0.6667945015,0.6334385671
politeness-refusal-038,0.6275717853,0.8251632888
politeness-refusal-058,0.7567902982,0.7032763514
politeness-refusal-064,0.7861007525,0.578745644
politeness-refusal-069,0.5899403852,0.6873719678
politeness-refusal-077,0.8146349328,0.633764463
politeness-refusal-080,0.7304686418,0.6171251319
politeness-refusal-083,0.7487433878,0.6235585899
politeness-refusal-090,0.7922008625,0.6247318065
politeness-reminder-017,0.8261180989,0.5453325715
politeness-reminder-018,0.86008177,0.5407450415
politeness-reminder-019,0.84500325,0.6501751673
politeness-reminder-021,0.7126298441,0.7598648272
politeness-reminder-079,0.7357161611,0.5873273665
politeness-reminder-094,0.7464884505,0.7865785622
politeness-request-001,0.5529170763,0.7539163793
politeness-request-006,0.8450633747,0.5909468612
politeness-request-025,1.00402173,0.5905317754
politeness-request-029,0.6665814579,0.6921715776
politeness-request-031,0.7661849727,0.7672962097
politeness-request-037,0.7084819068,0.7344267512
politeness-request-053,0.4967744082,0.8435546752
politeness-request-056,0.7328637626,0.5888866304
politeness-request-061,0.4439288343,0.8067432216
politeness-request-074,0.8132502261,0.5887277973
politeness-request-093,0.7429217011,0.6182701841
politeness-request-097,0.686546623,0.6512903469
