perm,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,pc1_frac_centroids
0,0.05428848668,0.0417826779,-0.5578857089,0.3055555556,0.8064733943,0.6589858214
1,0.1481339109,0.1121922787,-0.3135756553,0.2916666667,0.8507195104,0.6537264467
2,0.1001199729,0.07809256171,-0.4591592501,0.2638888889,0.8542621167,0.6459049108
3,-0.1953294295,-0.1520805279,-0.3983533782,0.3333333333,0.8866013455,0.6532933184
4,-0.003455548566,-0.002315412881,-0.3922883246,0.25,0.8593562891,0.557233396
5,0.07274839086,0.0549384329,-0.3692781534,0.1944444444,0.8432098467,0.5479624993
6,0.01154880705,0.008735421323,-0.4044745618,0.2222222222,0.816923983,0.6214377988
7,0.1099410057,0.08661749095,-0.3791641886,0.3055555556,0.8332228915,0.6295255934
8,-0.06019929344,-0.04609776554,-0.5615198433,0.25,0.8698739013,0.7017309646
9,0.1140331027,0.09030110236,-0.0498187865,0.3055555556,0.8541708016,0.6037649614
10,0.1184889416,0.09272176128,-0.4701403395,0.375,0.84048931,0.6300430591
11,-0.0063654842,-0.004841317842,-0.404128082,0.25,0.8859197058,0.5915442442
12,-0.3050885642,-0.2397504792,-0.7555461205,0.3888888889,0.8169791473,0.5900557039
13,-0.2232466245,-0.1713405532,-0.5748075134,0.3888888889,0.8593562891,0.6022878922
14,0.2824456275,0.2173330727,-0.2316083049,0.3055555556,0.8896106794,0.7856218086
15,0.08784368197,0.06851517207,-0.3192415246,0.3055555556,0.8536555581,0.6378553787
16,0.1123053284,0.08703847511,-0.1341612913,0.3611111111,0.8267090431,0.5613123551
17,0.08193287521,0.06167417946,-0.3003743074,0.1805555556,0.8347268517,0.679673327
18,0.04201219572,0.03083708973,-0.3764556428,0.1666666667,0.8984190027,0.597281246
19,0.02255200117,0.01831281097,-0.02205500577,0.4722222222,0.8886336769,0.5586992854
20,0.1124871994,0.08503880035,-0.4560690596,0.2083333333,0.8556659924,0.6229598806
21,-0.1274006195,-0.0982998014,-0.5678520497,0.2777777778,0.8725459835,0.5519329579
22,0.06356390652,0.04883416258,-0.626909754,0.2777777778,0.8542621167,0.6345007413
23,0.08747994001,0.07009386267,-0.5316485331,0.25,0.8354199992,0.6727953172
24,0.06811068095,0.05167580566,-0.2517852332,0.3472222222,0.856106337,0.5537854069
25,0.06756506801,0.0517810517,-0.3332743951,0.2916666667,0.8477754688,0.6230711708
26,-0.1534081692,-0.1214539302,-0.5961878287,0.3472222222,0.8460376242,0.6102283693
27,-0.1181251997,-0.09135356276,-0.4947109719,0.3472222222,0.8506202013,0.594519579
28,-0.03601045348,-0.02841643081,-0.9073188559,0.3333333333,0.8439029942,0.6531816607
29,0.09866500511,0.07346173595,-0.2379418948,0.2916666667,0.8886336769,0.6062429049
30,-0.1082132314,-0.08324961767,-0.346751431,0.5,0.8019061051,0.6330706157
31,0.115579006,0.0904063484,-0.6862637128,0.2361111111,0.8423820776,0.5852554258
32,0.2140621401,0.1643943145,0.1164876168,0.3194444444,0.8542621167,0.6400910306
33,-0.1278552969,-0.099878492,-0.4113955877,0.3472222222,0.84402719,0.6346657191
34,0.06638290666,0.05114957546,-0.3768918073,0.2638888889,0.846289026,0.6347474624
35,0.01536809757,0.01010361984,-0.6153413254,0.2916666667,0.9079363574,0.6336034909
36,0.0923904564,0.07356698199,-0.1321227412,0.3194444444,0.84402719,0.6176386504
37,-0.03300958235,-0.02673249417,-0.4695980235,0.3888888889,0.9343191595,0.712215914
38,-0.008093258483,-0.004104595562,-0.2884241534,0.3333333333,0.8420130106,0.5971203462
39,-0.1339479747,-0.102509643,-0.1723088261,0.375,0.855826079,0.6395315194
40,-0.0629273581,-0.04641350366,-0.2924483804,0.5,0.858992227,0.6019769435
41,-0.1125781349,-0.08451257015,-0.5371604104,0.25,0.8537304569,0.5794682272
42,-0.1238541354,-0.09651061872,-0.416413001,0.4305555556,0.8780636219,0.6484593311
