scenario_id,cos_valence,capture_valence,cos_bend
politeness-apology-003,0.3807071088,0.1449379027,0.3102212239
politeness-apology-013,0.4309543584,0.185721659,0.460331363
politeness-apology-043,0.3388293686,0.1148053411,0.4853311396
politeness-apology-057,0.3332125396,0.1110305965,0.4358907241
politeness-apology-065,0.3996567113,0.1597254869,0.4049130618
politeness-apology-067,0.3258725298,0.1061929057,0.3354336712
politeness-apology-081,0.3904980445,0.1524887227,0.3868813193
politeness-apology-098,0.4137555139,0.1711936253,0.185819164
politeness-bad-news-delivery-020,0.4190045372,0.1755648022,0.102527325
politeness-bad-news-delivery-028,0.4063192585,0.1650953399,0.4332861395
politeness-bad-news-delivery-066,0.4948682652,0.2448945999,0.4104538747
politeness-bad-news-delivery-073,0.3872139586,0.1499346498,0.4671875267
politeness-complaint-030,0.5110585754,0.2611808675,0.676923728
politeness-complaint-032,0.5133328354,0.2635105999,0.5579442634
politeness-complaint-040,0.5516327058,0.3042986421,0.5612519428
politeness-complaint-049,0.4061529859,0.164960248,0.5094983284
politeness-complaint-063,0.363000551,0.1317694,0.2629941754
politeness-complaint-072,0.4755943701,0.2261900048,0.4965843725
politeness-complaint-089,0.6198303558,0.38418967,0.6060741837
politeness-correction-002,0.5067109762,0.2567560134,0.4686649896
politeness-correction-005,0.5192030368,0.2695717934,0.4845494823
politeness-correction-007,0.2880361199,0.08296480636,0.3034887137
politeness-correction-024,0.6328290342,0.4004725865,0.2579593804
politeness-correction-027,0.3941833664,0.1553805264,0.3862060346
politeness-correction-045,0.5212454486,0.2716968177,0.4753425817
politeness-correction-051,0.2235717287,0.04998431788,0.3843823112
politeness-correction-076,0.3249016475,0.1055610806,0.4082662569
politeness-correction-087,0.4236572869,0.1794854968,0.3315362951
politeness-criticism-or-feedback-023,0.2138127084,0.04571587426,0.1554659656
politeness-criticism-or-feedback-036,0.2911674912,0.08477850794,0.5242338424
politeness-criticism-or-feedback-041,0.3574228512,0.1277510946,0.1784698232
politeness-criticism-or-feedback-050,0.4090049039,0.1672850114,0.4059336816
politeness-criticism-or-feedback-054,0.2792048869,0.07795536886,0.3839917963
politeness-criticism-or-feedback-071,0.4700239528,0.2209225162,0.4717236117
politeness-criticism-or-feedback-099,0.4418813505,0.1952591279,0.3942539301
politeness-criticism-or-feedback-100,0.4156213733,0.1727411259,0.2278130033
politeness-disagreement-012,0.3665857366,0.1343851023,0.3026431963
politeness-disagreement-035,0.5041049068,0.2541217571,0.2735574116
politeness-disagreement-047,0.4950046045,0.2450295585,0.08931658372
politeness-disagreement-048,0.4993544114,0.2493548282,0.5085525964
politeness-disagreement-075,0.3317395465,0.1100511267,0.1898506532
politeness-disagreement-086,0.1986433128,0.03945916571,-0.1779344204
politeness-inquiry-sensitive-008,0.4865108432,0.2366928005,0.3597332886
politeness-inquiry-sensitive-009,0.5101873305,0.2602911122,0.384258313
politeness-inquiry-sensitive-016,0.3623551778,0.1313012749,0.2774514352
politeness-inquiry-sensitive-092,0.2521013685,0.06355509999,0.1440199518
politeness-refusal-038,0.461459536,0.2129449034,0.4680939812
politeness-refusal-058,0.4661058798,0.2172546912,0.381023323
politeness-refusal-064,0.5902482387,0.3483929833,0.3519168119
politeness-refusal-069,0.5188204437,0.2691746528,0.01834092848
politeness-refusal-077,0.4352952614,0.1894819646,0.4879842386
politeness-refusal-080,0.6019857879,0.3623868888,0.05083529304
politeness-refusal-083,0.4932937155,0.2433386898,0.3259040998
politeness-refusal-090,0.5359934074,0.2872889327,0.4222598243
politeness-reminder-017,0.3335756922,0.1112727424,0.5058544222
politeness-reminder-018,0.5403143439,0.2919395902,0.5530638656
politeness-reminder-019,0.5214924738,0.2719544003,0.4645307673
politeness-reminder-021,0.3736398487,0.1396067365,0.4135072353
politeness-reminder-079,0.444235824,0.1973454673,0.4878150091
politeness-reminder-094,0.1831670233,0.03355015843,0.4402828146
politeness-request-001,0.4467626344,0.1995968515,0.3769592849
politeness-request-006,0.5246916217,0.2753012979,0.1401205346
politeness-request-025,0.4920387919,0.2421021728,-0.001226018527
politeness-request-029,0.6360339006,0.4045391227,0.004366671373
politeness-request-031,0.5393379644,0.2908854398,0.3175123813
politeness-request-037,0.4510587633,0.203454008,0.2936043571
politeness-request-053,0.4731022621,0.2238257504,0.08716920625
politeness-request-056,0.09576417733,0.009170777659,0.1886554745
politeness-request-061,0.364332473,0.1327381509,0.2762785399
politeness-request-074,0.3840540199,0.1474974902,0.4193093296
politeness-request-093,0.4209260095,0.1771787054,0.4096724953
politeness-request-097,0.5319041261,0.2829219993,0.4762690126
