scenario_id,scenario_title,level,x,y
politeness-refusal-080,080,negative,-11.00902546,0.102884465
politeness-refusal-080,080,neutral,2.932831518,-0.4038067844
politeness-refusal-080,080,positive,8.076193944,0.3009223194
politeness-apology-013,013,negative,-9.423158951,5.251437812
politeness-apology-013,013,neutral,5.737085705,-3.432295443
politeness-apology-013,013,positive,3.686073246,-1.819142368
politeness-criticism-or-feedback-054,or-feedback-054,negative,-7.132642916,6.426382018
politeness-criticism-or-feedback-054,or-feedback-054,neutral,2.335426298,-5.329397465
politeness-criticism-or-feedback-054,or-feedback-054,positive,4.797216618,-1.096984553
politeness-disagreement-048,048,negative,-8.160254323,6.803252955
politeness-disagreement-048,048,neutral,3.638317573,-9.236957077
politeness-disagreement-048,048,positive,4.52193675,2.433704122
politeness-correction-005,005,negative,-8.861993878,-6.278212788
politeness-correction-005,005,neutral,1.844650391,-6.815144959
politeness-correction-005,005,positive,7.017343487,13.09335775
politeness-complaint-030,030,negative,-8.697264994,7.284281723
politeness-complaint-030,030,neutral,-1.620190672,-18.87684018
politeness-complaint-030,030,positive,10.31745567,11.59255846
politeness-complaint-072,072,negative,-11.36708264,5.737326351
politeness-complaint-072,072,neutral,5.051341194,-12.33975619
politeness-complaint-072,072,positive,6.315741449,6.602429842
politeness-apology-043,043,negative,-7.556131133,-3.052287367
politeness-apology-043,043,neutral,3.926367961,-8.230517118
politeness-apology-043,043,positive,3.629763172,11.28280449
politeness-refusal-038,038,negative,-6.623060899,7.435497111
politeness-refusal-038,038,neutral,3.230583701,-5.054104845
politeness-refusal-038,038,positive,3.392477198,-2.381392266
politeness-reminder-019,019,negative,-9.31320678,4.76640439
politeness-reminder-019,019,neutral,1.471164535,-9.082873901
politeness-reminder-019,019,positive,7.842042244,4.316469511
politeness-request-037,037,negative,-11.22428339,7.493223672
politeness-request-037,037,neutral,4.507227644,-3.553012631
politeness-request-037,037,positive,6.717055748,-3.940211041
politeness-apology-067,067,negative,-4.806405191,3.941388818
politeness-apology-067,067,neutral,1.387892584,-4.142257992
politeness-apology-067,067,positive,3.418512607,0.2008691739
