scenario_id,scenario_title,level,x,y
politeness-refusal-080,080,negative,-1.17610538,1.946390254
politeness-refusal-080,080,neutral,0.1261104144,-0.006025235205
politeness-refusal-080,080,positive,1.049994966,-1.940365019
politeness-apology-013,013,negative,-3.493733452,-4.349973714
politeness-apology-013,013,neutral,1.34636164,1.892000405
politeness-apology-013,013,positive,2.147371811,2.457973309
politeness-criticism-or-feedback-054,or-feedback-054,negative,-1.76868477,-2.255239928
politeness-criticism-or-feedback-054,or-feedback-054,neutral,0.9625253295,2.75834114
politeness-criticism-or-feedback-054,or-feedback-054,positive,0.8061594409,-0.5031012126
politeness-disagreement-048,048,negative,-1.74651681,-0.713987485
politeness-disagreement-048,048,neutral,0.858983982,1.761210725
politeness-disagreement-048,048,positive,0.8875328283,-1.04722324
politeness-correction-005,005,negative,-0.7255778828,2.308182722
politeness-correction-005,005,neutral,-0.7180477844,-2.009053279
politeness-correction-005,005,positive,1.443625667,-0.2991294428
politeness-complaint-030,030,negative,-4.413251947,-9.842811717
politeness-complaint-030,030,neutral,0.4334447153,5.786679769
politeness-complaint-030,030,positive,3.979807232,4.056131948
politeness-complaint-072,072,negative,0.2073798589,5.726599128
politeness-complaint-072,072,neutral,0.8664206944,0.5793165499
politeness-complaint-072,072,positive,-1.073800553,-6.305915678
politeness-apology-043,043,negative,-3.763573351,-6.381896419
politeness-apology-043,043,neutral,1.47029363,3.61772149
politeness-apology-043,043,positive,2.293279721,2.764174929
politeness-refusal-038,038,negative,-1.387816987,1.587369419
politeness-refusal-038,038,neutral,1.658015823,3.22233389
politeness-refusal-038,038,positive,-0.2701988355,-4.809703308
politeness-reminder-019,019,negative,-2.438989146,-3.265218898
politeness-reminder-019,019,neutral,1.012614724,3.151430023
politeness-reminder-019,019,positive,1.426374422,0.113788875
politeness-request-037,037,negative,-1.88282178,0.4285648071
politeness-request-037,037,neutral,0.02472210035,-1.197140518
politeness-request-037,037,positive,1.85809968,0.7685757111
politeness-apology-067,067,negative,-2.7517817,-6.474291724
politeness-apology-067,067,neutral,0.7994256574,3.357611744
politeness-apology-067,067,positive,1.952356042,3.11667998
