scenario_id,scenario_title,level,x,y
politeness-refusal-080,080,negative,-2.35279412,-0.3034365951
politeness-refusal-080,080,neutral,0.8724703265,0.1123269043
politeness-refusal-080,080,positive,1.480323794,0.1911096908
politeness-apology-013,013,negative,-2.317216946,-1.090316406
politeness-apology-013,013,neutral,0.9045878084,0.5318155745
politeness-apology-013,013,positive,1.412629137,0.5585008312
politeness-criticism-or-feedback-054,or-feedback-054,negative,-1.54254006,-1.548971273
politeness-criticism-or-feedback-054,or-feedback-054,neutral,0.6018077581,0.4295308435
politeness-criticism-or-feedback-054,or-feedback-054,positive,0.9407323019,1.11944043
politeness-disagreement-048,048,negative,-1.953081695,-1.739074833
politeness-disagreement-048,048,neutral,0.7995839111,2.157306783
politeness-disagreement-048,048,positive,1.153497784,-0.41823195
politeness-correction-005,005,negative,-1.763743756,2.320126438
politeness-correction-005,005,neutral,0.4092487879,2.018569719
politeness-correction-005,005,positive,1.354494968,-4.338696157
politeness-complaint-030,030,negative,-1.804911521,-0.8339188624
politeness-complaint-030,030,neutral,-0.6479415119,4.231341006
politeness-complaint-030,030,positive,2.452853032,-3.397422144
politeness-complaint-072,072,negative,-2.563404947,-0.7115097184
politeness-complaint-072,072,neutral,1.054942055,3.801516268
politeness-complaint-072,072,positive,1.508462892,-3.09000655
politeness-apology-043,043,negative,-1.910271112,1.376022149
politeness-apology-043,043,neutral,1.016980879,1.766009978
politeness-apology-043,043,positive,0.8932902323,-3.142032127
politeness-refusal-038,038,negative,-2.27621118,-1.779902935
politeness-refusal-038,038,neutral,0.8388710111,0.9784495183
politeness-refusal-038,038,positive,1.437340169,0.801453417
politeness-reminder-019,019,negative,-2.293085821,-2.164112453
politeness-reminder-019,019,neutral,0.3807076319,3.061354197
politeness-reminder-019,019,positive,1.912378189,-0.897241744
politeness-request-037,037,negative,-1.978121025,-0.9660343745
politeness-request-037,037,neutral,0.8128700821,-0.6505835027
politeness-request-037,037,positive,1.165250943,1.616617877
politeness-apology-067,067,negative,-1.188687612,-0.9355302234
politeness-apology-067,067,neutral,0.2416347857,0.3732308303
politeness-apology-067,067,positive,0.9470528267,0.5622993931
